month,rsk_normal
1,75.20370370370371
2,58.31851851851852
3,53.99285714285715
4,38.464285714285715
5,54.70714285714285
6,72.77142857142856
7,88.63571428571427
8,87.0142857142857
9,79.82857142857141
10,86.00357142857145
11,67.22142857142858
12,85.35357142857144
