day_of_year,tmk_normal
1,2.5187062638675544
2,2.506669226830517
3,2.478349547704386
4,2.4586192182966373
5,2.457825567502987
6,2.430517153097798
7,2.3830175797917734
8,2.2939537463731012
9,2.223626045400239
10,2.165719406041987
11,2.1120327700972865
12,2.0852022529441885
13,2.067771804062127
14,2.0515659668885475
15,2.0342123229220004
16,2.008363201911589
17,1.989605734767025
18,1.996057347670251
19,2.009199522102748
20,2.030227001194743
21,2.0468339307048984
22,2.0615292712066906
23,2.057108721624851
24,2.030704898446834
25,1.9930704898446834
26,1.965352449223417
27,1.929510155316607
28,1.885304659498208
29,1.8452807646356033
30,1.796057347670251
31,1.7755077658303464
32,1.76857825567503
33,1.7565113500597374
34,1.771326164874552
35,1.7734767025089604
36,1.7695340501792114
37,1.794026284348865
38,1.8422939068100357
39,1.8869772998805256
40,1.9228195937873358
41,1.974074074074074
42,2.033213859020311
43,2.05663082437276
44,2.087216248506571
45,2.145127154804574
46,2.166743471582181
47,2.192131763099505
48,2.2116615463389655
49,2.213910223587643
50,2.228690902884451
51,2.243731865506059
52,2.2794418842805944
53,2.32068612391193
54,2.365100699778119
55,2.428584229390681
56,2.4998719918074754
57,2.5531063321385905
58,2.616931216931217
59,2.676339819081755
60,2.756626557433009
61,2.853648233486943
62,2.9395758661887696
63,3.008717357910906
64,3.061968766001024
65,3.0983998975934464
66,3.13879074927462
67,3.1877666837344254
68,3.250029868578255
69,3.3092848608977636
70,3.387881891107697
71,3.4591184502474825
72,3.5229134664618535
73,3.5974142345110085
74,3.6871181088923026
75,3.7963133640552993
76,3.8910138248847925
77,4.006221198156682
78,4.1369815668202765
79,4.259216589861751
80,4.395276497695852
81,4.508986175115208
82,4.630414746543779
83,4.741935483870968
84,4.833179723502304
85,4.917165898617511
86,5.002188940092166
87,5.08963133640553
88,5.191820276497696
89,5.28778801843318
90,5.390437788018433
91,5.503225806451613
92,5.615668202764976
93,5.713940092165898
94,5.824423963133641
95,5.948963133640553
96,6.080990783410138
97,6.252764976958526
98,6.430990783410137
99,6.614976958525345
100,6.8
101,6.982027649769584
102,7.160368663594469
103,7.342050691244238
104,7.5014976958525335
105,7.654493087557603
106,7.793087557603686
107,7.905184331797235
108,8.041820276497695
109,8.16278801843318
110,8.28778801843318
111,8.406566820276497
